id	old_id	dataset	collection	patric_id	strain	file_id	bioproject	biosample	download_key	sra_accession	srr_accession	srr_accession_2	genbank_accession	genbank_ftppath	refseq_accession	refseq_ftppath	MY NOTES	year	country	region	animal	source_detail	source_bin	origin	phylogroup_ct	htype_ec	otype_ec	serotype_ec	serotype	mlst	phylogroup	esbl	esbl_ctxm	SIR_AMK	MIC_AMK	SIR_GEN	MIC_GEN	SIR_KAN	MIC_KAN	SIR_NMC	MIC_NMC	SIR_STR	MIC_STR	SIR_TBM	MIC_TBM	SIR_SPT	MIC_SPT	SIR_ETP	MIC_ETP	SIR_IMP	MIC_IMP	SIR_MER	MIC_MER	SIR_DOR	MIC_DOR	SIR_CET	MIC_CET	SIR_CPM	MIC_CPM	SIR_CRO	MIC_CRO	SIR_CTC	MIC_CTC	SIR_CTX	MIC_CTX	SIR_CTZ	MIC_CTZ	SIR_CXA	MIC_CXA	SIR_CXM	MIC_CXM	SIR_TIO	MIC_TIO	SIR_CFZ	MIC_CFZ	SIR_CFC	MIC_CFC	SIR_CZA	MIC_CZA	SIR_FOX	MIC_FOX	SIR_CTT	MIC_CTT	SIR_TMP	MIC_TMP	SIR_CIP	MIC_CIP	SIR_EFX	MIC_EFX	SIR_LVX	MIC_LVX	SIR_NOR	MIC_NOR	SIR_MXF	MIC_MXF	SIR_DEL	MIC_DEL	SIR_OFX	MIC_OFX	SIR_LCM	MIC_LCM	SIR_AZM	MIC_AZM	SIR_AZT	MIC_AZT	SIR_AMC	MIC_AMC	SIR_AMP	MIC_AMP	SIR_AMX	MIC_AMX	SIR_TZP	MIC_TZP	SIR_SAM	MIC_SAM	SIR_PIP	MIC_PIP	SIR_CHL	MIC_CHL	SIR_FFC	MIC_FFC	SIR_CST	MIC_CST	SIR_PMB	MIC_PMB	SIR_SOX	MIC_SOX	SIR_SMZ	MIC_SMZ	SIR_SXT	MIC_SXT	SIR_NAL	MIC_NAL	SIR_OTC	MIC_OTC	SIR_TET	MIC_TET	SIR_TGC	MIC_TGC	SIR_MIN	MIC_MIN	SIR_DOX	MIC_DOX	SIR_FOS	MIC_FOS	SIR_NIT	MIC_NIT	ZD_AMK	ZD_AMX	ZD_AMP	ZD_SAM	ZD_AZM	ZD_AZT	ZD_CFZ	ZD_CPM	ZD_CTX	ZD_CFC	ZD_CTT	ZD_FOX	ZD_CTZ	ZD_CZA	ZD_CTC	ZD_TIO	ZD_CRO	ZD_CXM	ZD_CXA	ZD_CET	ZD_CHL	ZD_CIP	ZD_AMC	ZD_CST	ZD_SXT	ZD_DEL	ZD_DOR	ZD_DOX	ZD_EFX	ZD_ETP	ZD_FFC	ZD_FOS	ZD_GEN	ZD_IMP	ZD_KAN	ZD_LVX	ZD_LCM	ZD_MER	ZD_MIN	ZD_MXF	ZD_NAL	ZD_NMC	ZD_NIT	ZD_NOR	ZD_OFX	ZD_OTC	ZD_PIP	ZD_TZP	ZD_PMB	ZD_SPT	ZD_STR	ZD_SMZ	ZD_SOX	ZD_TET	ZD_TGC	ZD_TBM	ZD_TMP
ERR1218534	ERR1218534	THAI	ENA			ERR1218534	PRJEB11403											2014-2015	Thailand				human_clinical	human		H18	O15	O15:H18		131		ESBL	CTX-M-55			S								S												R								R		R				R														R		I																				R		R				R																																																																																												
ERR1218535	ERR1218535	THAI	ENA			ERR1218535	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				R		R				S																																																																																												
ERR1218536	ERR1218536	THAI	ENA			ERR1218536	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														S		R																				S		R				S																																																																																												
ERR1218537	ERR1218537	THAI	ENA			ERR1218537	PRJEB11403											2014-2015	Thailand				human_clinical	human		H40	-	-:H40		542		ESBL	CTX-M-14			R								R												R								R		S				R														R		S																				S		R				S																																																																																												
ERR1218538	ERR1218538	THAI	ENA			ERR1218538	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O78	O78:H4		5940		ESBL	CTX-M-55			R								I												R								R		R				R														S		R																				R		R				S																																																																																												
ERR1218539	ERR1218539	THAI	ENA			ERR1218539	PRJEB11403											2014-2015	Thailand				human_clinical	human		H18	O86	O86:H18		38		ESBL	CTX-M-27			S								S												R								R		I				R														R		S																				R		R				S																																																																																												
ERR1218540	ERR1218540	THAI	ENA			ERR1218540	PRJEB11403											2014-2015	Thailand				human_clinical	human		H10	O9	O9:H10		46		ESBL	CTX-M-15			R								R												R								R		R				R														R		R																				R		R				R																																																																																												
ERR1218541	ERR1218541	THAI	ENA			ERR1218541	PRJEB11403											2014-2015	Thailand				human_clinical	human		H9	O89	O89:H9		617		ESBL	CTX-M-14			I								S												R								R		S				R														S		R																				S		R				S																																																																																												
ERR1218542	ERR1218542	THAI	ENA			ERR1218542	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-27			S								S												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218543	ERR1218543	THAI	ENA			ERR1218543	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		5941		ESBL	CTX-M-27			S								S												R								R		I				R														S		R																				S		R				S																																																																																												
ERR1218544	ERR1218544	THAI	ENA			ERR1218544	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				S		R				S																																																																																												
ERR1218545	ERR1218545	THAI	ENA			ERR1218545	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				S		R				S																																																																																												
ERR1218546	ERR1218546	THAI	ENA			ERR1218546	PRJEB11403											2014-2015	Thailand				human_clinical	human		H9	O8	O8:H9		58		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				R		R				R																																																																																												
