isolate_id	study_accession	sample_accession	experiment_accession	id	submission_accession	run_alias	fastq_ftp	sra_ftp	AMP	AMP_clsi	AMP_ecoff	AMP_eucast	CHL	CHL_clsi	CHL_ecoff	CHL_eucast	CIP	CIP_clsi	CIP_ecoff	CIP_eucast	CPM	CPM_clsi	CPM_ecoff	CPM_eucast	CST	CST_clsi	CST_ecoff	CST_eucast	CTX	CTX_clsi	CTX_ecoff	CTX_eucast	CTZ	CTZ_clsi	CTZ_ecoff	CTZ_eucast	ETP	ETP_clsi	ETP_ecoff	ETP_eucast	FOX	FOX_clsi	FOX_ecoff	FOX_eucast	GEN	GEN_clsi	GEN_ecoff	GEN_eucast	IMP	IMP_clsi	IMP_ecoff	IMP_eucast	MER	MER_clsi	MER_ecoff	MER_eucast	NAL	NAL_clsi	NAL_ecoff	NAL_eucast	SMZ	SMZ_clsi	SMZ_ecoff	SMZ_eucast	TET	TET_clsi	TET_ecoff	TET_eucast	TMP	TMP_clsi	TMP_ecoff	TMP_eucast
DTU2017-806-PRJ1111-Escherischia-coli-360-16019810_S28_L001_R1_001	PRJEB22091	SAMEA104205896	ERX2148098	ERR2091304	ERA984054	Run_2017_8_8_12_24_2_run1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091304/ERR2091304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091304/ERR2091304_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/004/ERR2091304	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.125	S	S	S	1.0		S	S	4.0	R	R	R	4.0	S	R	I	0.03	S	S	S	64.0	R	R		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		8.0	S			64.0	R	R		0.25	S	S	S
DTU2017-807-PRJ1111-Escherischia-coli-360-16020676_S29_L001_R1_001	PRJEB22091	SAMEA104205897	ERX2148099	ERR2091305	ERA984054	Run_2017_8_8_12_24_2_run2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091305/ERR2091305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091305/ERR2091305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/005/ERR2091305	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	8.0	I	R	R	1.0		S	S	16.0	R	R	R	1.0	S	R	S	0.015	S	S	S	2.0	S	S		1.0	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		32.0	R	R	R
DTU2017-808-PRJ1111-Escherischia-coli-360-16020678_S30_L001_R1_001	PRJEB22091	SAMEA104205898	ERX2148100	ERR2091306	ERA984054	Run_2017_8_8_12_24_2_run3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091306/ERR2091306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091306/ERR2091306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/006/ERR2091306	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	8.0	I	R	R	1.0		S	S	16.0	R	R	R	1.0	S	R	S	0.015	S	S	S	2.0	S	S		1.0	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		32.0	R	R	R
DTU2017-809-PRJ1111-Escherischia-coli-360-16020939_S31_L001_R1_001	PRJEB22091	SAMEA104205899	ERX2148101	ERR2091307	ERA984054	Run_2017_8_8_12_24_2_run4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091307/ERR2091307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091307/ERR2091307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/007/ERR2091307	64.0	R	R	R	8.0	S	S	S	0.5	I	R	I	0.5	S	R	S	1.0		S	S	2.0	I	R	I	8.0	I	R	R	0.015	S	S	S	4.0	S	S		1.0	S	S	S	0.25	S	S	S	0.03	S	S	S	8.0	S	S		8.0	S			2.0	S	S		0.25	S	S	S
DTU2017-810-PRJ1111-Escherischia-coli-360-16027194_S32_L001_R1_001	PRJEB22091	SAMEA104205900	ERX2148102	ERR2091308	ERA984054	Run_2017_8_8_12_24_2_run5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091308/ERR2091308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091308/ERR2091308_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/008/ERR2091308	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	32.0	R	R	R	1.0		S	S	64.0	R	R	R	4.0	S	R	I	0.03	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-811-PRJ1111-Escherischia-coli-360-16027204_S33_L001_R1_001	PRJEB22091	SAMEA104205901	ERX2148103	ERR2091309	ERA984054	Run_2017_8_8_12_24_2_run6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091309/ERR2091309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091309/ERR2091309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/009/ERR2091309	64.0	R	R	R	32.0	R	R	R	0.25	S	R	S	0.5	S	R	S	1.0		S	S	2.0	I	R	I	16.0	R	R	R	0.015	S	S	S	8.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	128.0	R	R		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-812-PRJ1111-Escherischia-coli-360-16027227_S34_L001_R1_001	PRJEB22091	SAMEA104205902	ERX2148104	ERR2091310	ERA984054	Run_2017_8_8_12_24_2_run7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091310/ERR2091310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091310/ERR2091310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/000/ERR2091310	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	2.0	S	R	I	1.0		S	S	8.0	R	R	R	16.0	R	R	R	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		8.0	S			64.0	R	R		0.25	S	S	S
DTU2017-813-PRJ1111-Escherischia-coli-360-16027238_S35_L001_R1_001	PRJEB22091	SAMEA104205903	ERX2148105	ERR2091311	ERA984054	Run_2017_8_8_12_24_2_run8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091311/ERR2091311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091311/ERR2091311_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/001/ERR2091311	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	16.0	R	R	R	1.0		S	S	32.0	R	R	R	2.0	S	R	I	0.015	S	S	S	8.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-814-PRJ1111-Escherischia-coli-360-16027247_S36_L001_R1_001	PRJEB22091	SAMEA104205904	ERX2148106	ERR2091312	ERA984054	Run_2017_8_8_12_24_2_run9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091312/ERR2091312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091312/ERR2091312_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/002/ERR2091312	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	1.0	S	R	S	1.0		S	S	4.0	R	R	R	16.0	R	R	R	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		8.0	S			64.0	R	R		0.25	S	S	S
DTU2017-815-PRJ1111-Escherischia-coli-360-16027377_S37_L001_R1_001	PRJEB22091	SAMEA104205905	ERX2148107	ERR2091313	ERA984054	Run_2017_8_8_12_24_2_run10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091313/ERR2091313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091313/ERR2091313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/003/ERR2091313	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	4.0	I	R	I	1.0		S	S	32.0	R	R	R	1.0	S	R	S	0.015	S	S	S	4.0	S	S		1.0	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			32.0	R	R		0.25	S	S	S
